Date,Open,High,Low,Close
21-09-2012,2.073333,2.099333,1.969333,2.001333
24-09-2012,1.967333,2.068667,1.96,2.044
25-09-2012,1.908,1.965333,1.835333,1.844
26-09-2012,1.844,1.893333,1.832,1.836
27-09-2012,1.854667,1.902667,1.84,1.899333
28-09-2012,1.915333,1.992667,1.907333,1.952
01-10-2012,1.966667,1.992667,1.933333,1.944
02-10-2012,1.952,1.992667,1.933333,1.986667
03-10-2012,1.983333,1.996667,1.949333,1.953333
04-10-2012,2,2.006667,1.91,1.96
05-10-2012,1.98,1.987333,1.912,1.926
08-10-2012,1.924,1.96,1.907333,1.95
09-10-2012,1.941333,1.941333,1.883333,1.891333
10-10-2012,1.892667,1.914667,1.867333,1.893333
11-10-2012,1.929333,1.932,1.883333,1.888
12-10-2012,1.888,1.915333,1.833333,1.842667
15-10-2012,1.868,1.87,1.790667,1.822
16-10-2012,1.844667,1.872667,1.822667,1.870667
17-10-2012,1.883333,1.922667,1.853333,1.921333
18-10-2012,1.932667,1.932667,1.852,1.869333
19-10-2012,1.855333,1.88,1.82,1.849333
22-10-2012,1.866,1.866667,1.824,1.856667
23-10-2012,1.825333,1.904,1.824667,1.892667
24-10-2012,1.901333,1.901333,1.816667,1.828
25-10-2012,1.853333,1.853333,1.83,1.834667
26-10-2012,1.835333,1.853333,1.801333,1.825333
31-10-2012,1.846667,1.89,1.824667,1.875333
01-11-2012,1.883333,1.966,1.88,1.95
02-11-2012,1.951333,1.97,1.903333,1.928
05-11-2012,1.986667,2.105333,1.955333,2.1
06-11-2012,2.040667,2.08,1.996667,2.076667
07-11-2012,2.066667,2.136667,2.054,2.102667
08-11-2012,2.067333,2.125333,2.062667,2.087333
09-11-2012,2.04,2.062,1.99,2.021333
12-11-2012,2.019333,2.094667,2.010667,2.071333
13-11-2012,2.086,2.133333,2.048,2.107333
14-11-2012,2.130667,2.141333,2.08,2.092
15-11-2012,2.086667,2.096,2.033333,2.054667
16-11-2012,2.076667,2.133333,2.039333,2.122667
19-11-2012,2.138,2.216667,2.122667,2.194667
20-11-2012,2.186667,2.206667,2.127333,2.2
21-11-2012,2.174,2.231333,2.152667,2.164667
23-11-2012,2.173333,2.188667,2.113333,2.142
26-11-2012,2.14,2.153333,2.108,2.151333
27-11-2012,2.142,2.177333,2.101333,2.143333
28-11-2012,2.133333,2.286,2.127333,2.215333
29-11-2012,2.229333,2.266667,2.191333,2.246
30-11-2012,2.242,2.285333,2.200667,2.254667
03-12-2012,2.259333,2.333333,2.233333,2.308
04-12-2012,2.272,2.32,2.236667,2.26
05-12-2012,2.254667,2.279333,2.238667,2.247333
06-12-2012,2.254667,2.32,2.233333,2.26
07-12-2012,2.286667,2.299333,2.256667,2.278
10-12-2012,2.295333,2.32,2.278667,2.304667
11-12-2012,2.306667,2.366667,2.297333,2.352
12-12-2012,2.347333,2.386667,2.33,2.350667
13-12-2012,2.350667,2.353333,2.183333,2.240667
14-12-2012,2.252,2.293333,2.239333,2.254
17-12-2012,2.251333,2.3,2.25,2.293333
18-12-2012,2.284,2.338,2.284,2.306
19-12-2012,2.316667,2.350667,2.301333,2.307333
20-12-2012,2.300667,2.319333,2.27,2.295333
21-12-2012,2.262667,2.278,2.238667,2.266667
24-12-2012,2.242667,2.29,2.236667,2.285333
26-12-2012,2.264,2.3,2.233333,2.239333
27-12-2012,2.233333,2.260667,2.2,2.246
28-12-2012,2.225333,2.243333,2.201333,2.214667
31-12-2012,2.2,2.264667,2.2,2.258
02-01-2013,2.333333,2.363333,2.314,2.357333
03-01-2013,2.345333,2.363333,2.316667,2.318
04-01-2013,2.32,2.32,2.261333,2.293333
07-01-2013,2.32,2.32,2.26,2.289333
08-01-2013,2.3,2.3,2.207333,2.245333
09-01-2013,2.267333,2.279333,2.226667,2.242667
10-01-2013,2.258,2.266,2.225333,2.235333
11-01-2013,2.269333,2.269333,2.140667,2.194
14-01-2013,2.205333,2.225333,2.19,2.217333
15-01-2013,2.207333,2.283333,2.205333,2.26
16-01-2013,2.256667,2.282,2.248667,2.273333
17-01-2013,2.277333,2.323333,2.261333,2.292
18-01-2013,2.316,2.318667,2.254667,2.301333
22-01-2013,2.304,2.37,2.284,2.346
23-01-2013,2.334667,2.416,2.330667,2.4
24-01-2013,2.4,2.514667,2.389333,2.466
25-01-2013,2.466667,2.502667,2.453333,2.465333
28-01-2013,2.457333,2.580667,2.457333,2.535333
29-01-2013,2.54,2.562667,2.475333,2.53
30-01-2013,2.523333,2.533333,2.495333,2.501333
31-01-2013,2.524667,2.524667,2.462,2.500667
01-02-2013,2.544667,2.566667,2.508,2.553333
04-02-2013,2.56,2.561333,2.506,2.516
05-02-2013,2.533333,2.576667,2.512,2.542
06-02-2013,2.545333,2.626,2.526667,2.611333
07-02-2013,2.612667,2.645333,2.596667,2.632
08-02-2013,2.63,2.666667,2.609333,2.616
11-02-2013,2.532,2.61,2.5,2.561333
12-02-2013,2.563333,2.591333,2.486,2.526
13-02-2013,2.553333,2.6,2.536667,2.563333
14-02-2013,2.576,2.583333,2.547333,2.551333
15-02-2013,2.566667,2.567333,2.463333,2.469333
19-02-2013,2.490667,2.619333,2.487333,2.618667
20-02-2013,2.62,2.643333,2.564,2.569333
21-02-2013,2.432667,2.492667,2.302667,2.344
22-02-2013,2.381333,2.426,2.373333,2.407333
25-02-2013,2.41,2.45,2.289333,2.292
26-02-2013,2.297333,2.330667,2.253333,2.295333
27-02-2013,2.294,2.360667,2.293333,2.34
28-02-2013,2.392667,2.406667,2.291333,2.322
01-03-2013,2.333333,2.338667,2.283333,2.31
04-03-2013,2.318,2.388667,2.313333,2.372
05-03-2013,2.4,2.461333,2.386,2.443333
06-03-2013,2.467333,2.525333,2.464667,2.512667
07-03-2013,2.515333,2.576667,2.458667,2.548667
