,Open,High,Low,Close
2017-01-03 09:30:00+00:00,28.9525,29.0825,28.69,28.855
2017-01-03 09:45:00+00:00,28.8525,28.925,28.7625,28.9175
2017-01-03 10:00:00+00:00,28.915,28.9575,28.8175,28.9175
2017-01-03 10:15:00+00:00,28.92,28.935,28.865,28.925
2017-01-03 10:30:00+00:00,28.925,28.945,28.9175,28.9275
2017-01-03 10:45:00+00:00,28.9275,28.945,28.85,28.8625
2017-01-03 11:00:00+00:00,28.8625,28.92,28.835,28.9075
2017-01-03 11:15:00+00:00,28.91,28.91,28.8275,28.8375
2017-01-03 11:30:00+00:00,28.84,28.8825,28.7825,28.7975
2017-01-03 11:45:00+00:00,28.795,28.8475,28.7825,28.845
2017-01-03 12:00:00+00:00,28.8475,28.8825,28.815,28.855
2017-01-03 12:15:00+00:00,28.8575,28.865,28.83,28.845
2017-01-03 12:30:00+00:00,28.8475,28.87,28.8225,28.8225
2017-01-03 12:45:00+00:00,28.8225,28.87,28.8175,28.8675
2017-01-03 13:00:00+00:00,28.8675,28.88,28.8425,28.8725
2017-01-03 13:15:00+00:00,28.87,28.875,28.85,28.85
2017-01-03 13:30:00+00:00,28.85,28.86,28.8175,28.8225
2017-01-03 13:45:00+00:00,28.825,28.85,28.8075,28.8075
2017-01-03 14:00:00+00:00,28.8075,28.8275,28.7875,28.81
2017-01-03 14:15:00+00:00,28.8075,28.8425,28.8025,28.8425
2017-01-03 14:30:00+00:00,28.8425,28.865,28.84,28.86
2017-01-03 14:45:00+00:00,28.86,28.865,28.84,28.86
2017-01-03 15:00:00+00:00,28.86,28.9075,28.8575,28.895
2017-01-03 15:15:00+00:00,28.895,28.9,28.865,28.87
2017-01-03 15:30:00+00:00,28.8675,28.9325,28.8475,28.9
2017-01-03 15:45:00+00:00,28.9,29.035,28.8975,29.035
2017-01-04 09:30:00+00:00,28.965,29.1275,28.9375,29.0575
2017-01-04 09:45:00+00:00,29.06,29.1175,29.0575,29.0675
2017-01-04 10:00:00+00:00,29.07,29.1,29.04,29.0525
2017-01-04 10:15:00+00:00,29.055,29.0575,29.0125,29.0225
2017-01-04 10:30:00+00:00,29.0225,29.0375,28.9675,28.9975
2017-01-04 10:45:00+00:00,29,29.0275,28.9775,28.99
2017-01-04 11:00:00+00:00,28.99,29.0225,28.99,29.005
2017-01-04 11:15:00+00:00,29.0025,29.0275,28.975,29.015
2017-01-04 11:30:00+00:00,29.015,29.075,29.0125,29.06
2017-01-04 11:45:00+00:00,29.06,29.095,29.055,29.0925
2017-01-04 12:00:00+00:00,29.0925,29.095,29.0425,29.0575
2017-01-04 12:15:00+00:00,29.0575,29.0625,29.03,29.04
2017-01-04 12:30:00+00:00,29.04,29.0525,29.01,29.0425
2017-01-04 12:45:00+00:00,29.0425,29.0525,29.02,29.035
2017-01-04 13:00:00+00:00,29.0325,29.0425,28.9875,29.0325
2017-01-04 13:15:00+00:00,29.0325,29.05,29.025,29.04
2017-01-04 13:30:00+00:00,29.04,29.0675,29.035,29.05
2017-01-04 13:45:00+00:00,29.0525,29.07,29.035,29.0525
2017-01-04 14:00:00+00:00,29.0525,29.075,29.0125,29.0525
2017-01-04 14:15:00+00:00,29.0525,29.0725,29.035,29.0575
2017-01-04 14:30:00+00:00,29.0575,29.0725,28.995,29.04
2017-01-04 14:45:00+00:00,29.04,29.0425,29.01,29.015
2017-01-04 15:00:00+00:00,29.015,29.035,29,29.0325
2017-01-04 15:15:00+00:00,29.0325,29.0325,28.995,29.0025
2017-01-04 15:30:00+00:00,29.0025,29.02,28.9725,29.005
2017-01-04 15:45:00+00:00,29.005,29.0225,28.975,29.005
2017-01-05 09:30:00+00:00,28.985,29.185,28.95,29.1675
